stakes,offer,accept,wealth
200,50,1,1
200,5,1,1
20,2,0,1
200,5,0,1
2000,500,1,1
200,40,0,1
2000,500,1,1
200,1,0,0
2000,500,1,1
20,16,1,1
20,2,1,1
200,50,1,1
200,20,0,1
20,5,1,1
20,5,1,1
200,20,1,1
200,10,1,0
2000,1900,1,0
2000,100,1,0
20,5,1,0
2000,120,0,0
200,60,0,0
20,5,0,0
20,2,1,0
200,20,1,0
200,1,0,0
200,5,0,0
20,5,0,0
200,5,1,0
20,3,0,0
20,5,0,0
200,50,0,0
20,2,0,0
200,10,1,1
200,150,1,1
20,5,1,1
2000,250,1,1
20,6,1,1
20,5,1,1
200,20,0,1
2000,10,0,1
200,30,1,1
200,50,1,1
20,5,0,1
200,90,1,1
20,2,1,1
2000,300,0,0
20,2,0,1
20,2,0,1
2000,50,0,1
20,5,0,1
20,1,1,1
200,20,1,0
20,5,1,1
2000,100,1,1
2000,500,1,1
20,5,0,1
2000,50,0,1
200,100,1,1
200,50,0,0
200,2,0,1
2000,50,1,1
20,5,1,1
2000,550,1,1
200,10,1,0
20,1,1,1
20,5,0,1
200,50,1,1
20,5,0,1
20,2,1,1
200,50,1,0
20,5,1,0
200,50,1,0
200,10,0,0
2000,500,1,0
200,50,0,0
20,5,1,0
2000,250,1,0
2000,100,1,0
200,50,1,0
200,50,1,0
20,5,1,0
2000,500,1,0
20,5,1,0
2000,50,0,0
200,50,0,0
20,10,1,0
200,50,1,0
200,2,1,1
200,5,0,1
2000,300,1,1
2000,200,1,1
2000,1000,1,1
2000,1000,1,1
200,10,0,1
2000,100,1,1
20,1,1,1
20,5,1,1
20,5,1,1
200,100,1,0
20,5,1,1
20,5,1,1
200,60,1,1
20,15,1,1
200,20,1,1
200,10,1,1
200,20,1,1
2000,10,1,1
200,50,1,1
2000,2,1,0
2000,500,1,1
20,15,1,1
2000,500,0,1
20,5,1,1
20,5,1,1
200,20,1,1
20,1,1,1
20,10,1,1
200,20,1,1
2000,500,1,0
2000,500,1,0
2000,400,0,0
20,5,1,0
2000,150,1,1
20,5,0,1
2000,500,1,1
200,60,1,1
20,10,1,1
20,2,1,1
200,50,0,1
2000,100,1,0
200,50,0,1
20,5,0,0
20,6,0,0
200,50,1,0
20,8,0,0
2000,250,1,0
2000,100,0,0
2000,500,1,0
200,25,0,0
200,50,1,0
200,50,0,0
20,5,0,0
20,5,1,0
2000,500,0,0
200,40,1,0
2000,200,0,0
200,50,0,0
200,10,0,1
20,8,0,1
20,5,0,1
2000,500,1,1
20,3,0,1
200,70,0,1
200,50,1,1
2000,300,1,1
2000,200,0,1
20,10,1,1
20,5,1,1
20,5,1,1
2000,500,1,1
20,5,1,1
200,30,0,1
200,50,1,1
20,5,0,1
2000,500,1,1
20,5,0,0
20,5,1,1
200,50,0,1
2000,500,1,1
200,50,1,1
20,5,1,1
200,40,1,1
200,80,1,1
20,6,1,1
200,50,0,1
2000,200,0,1
20,5,0,1
20,5,0,1
200,40,1,1
200,40,1,1
200,40,0,1
200,30,0,1
2000,50,1,1
20,10,0,1
200,20,0,1
2000,50,0,1
20,2,1,0
2000,50,1,0
2000,500,0,0
200,80,1,0
200,50,1,0
20,5,1,0
200,50,1,0
20,5,1,0
200,20,1,0
20,5,1,0
20,2,0,0
200,1,0,0
2000,50,0,0
20,5,1,0
200,50,0,0
2000,100,1,0
20,5,1,0
20,5,0,1
20,5,1,1
20,5,0,1
20,5,1,1
20,5,0,0
2000,600,0,1
20,5,1,1
2000,150,1,0
200,50,0,1
200,60,0,1
20,5,0,1
20,2,0,1
20,5,0,0
20,2,1,1
200,50,0,1
2000,50,0,1
20,5,1,1
20,8,0,1
200,20,0,1
200,40,0,1
200,50,0,1
20,5,0,1
2000,30,0,1
200,50,1,1
20,5,0,1
20,1,0,1
20,1,0,1
20,1,1,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,3,0,1
20,3,1,1
20,4,1,1
20,4,1,1
20,4,1,1
20,4,1,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,7,0,1
20,8,1,1
20,8,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,1,0,1
20,1,0,1
20,1,0,1
20,1,0,1
20,1,0,1
20,1,1,1
20,1,1,1
20,1,1,1
20,1,1,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,0,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,2,1,1
20,3,0,1
20,3,0,1
20,3,0,1
20,3,1,1
20,3,1,1
20,4,0,1
20,4,1,1
20,4,1,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,0,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,5,1,1
20,7,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,10,1,1
20,15,0,1
20,19,1,1
200,10,0,0
200,10,0,0
200,10,1,0
200,10,1,0
200,20,0,0
200,20,1,0
200,20,1,0
200,20,1,0
200,20,1,0
200,20,1,0
200,30,0,0
200,30,1,0
200,30,1,0
200,30,1,0
200,40,1,0
200,40,1,0
200,50,1,0
200,50,1,0
200,10,0,1
200,10,0,1
200,10,0,1
200,10,1,1
200,20,0,1
200,20,0,1
200,20,0,1
200,20,0,1
200,20,0,1
200,20,0,1
200,20,1,1
200,20,1,1
200,20,1,1
200,30,0,1
200,30,0,1
200,30,1,1
200,30,1,1
200,40,1,1
200,40,1,1
200,50,0,1
200,50,1,1
200,50,1,1
200,50,1,1
2000,100,1,0
2000,100,1,0
2000,100,1,0
2000,100,1,0
2000,100,1,0
2000,100,1,0
2000,100,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,300,1,0
2000,300,1,0
2000,300,1,0
2000,400,1,0
2000,500,1,0
2000,500,1,0
2000,100,0,1
2000,100,0,1
2000,100,0,1
2000,100,0,1
2000,100,1,1
2000,100,1,1
2000,100,1,1
2000,100,1,1
2000,100,1,1
2000,100,1,1
2000,200,0,1
2000,200,0,1
2000,200,1,1
2000,200,1,1
2000,200,1,1
2000,200,1,1
2000,200,1,1
2000,200,1,1
2000,300,0,1
2000,300,0,1
2000,300,1,1
2000,300,1,1
2000,300,1,1
2000,400,1,1
2000,400,1,1
2000,500,0,1
2000,500,0,1
2000,500,1,1
2000,700,0,1
2000,1000,1,1
20000,1000,1,0
20000,1000,1,0
20000,1000,1,0
20000,1000,1,0
20000,1000,1,0
20000,1000,1,0
20000,2000,1,0
20000,2000,1,0
20000,3000,1,0
20000,3000,1,0
20000,5000,1,0
20000,10000,1,0
20000,1000,1,1
20000,1000,1,1
20000,1000,1,1
20000,1000,1,1
20000,1000,1,1
20000,1000,1,1
20000,2000,0,1
20000,2000,1,1
20000,2000,1,1
20000,4000,1,1
20000,5000,1,1
20000,6000,1,1
60,400,0,
60,500,1,
60,430,1,
60,500,1,
60,400,1,
60,475,0,
60,500,1,
60,500,1,
60,515,1,
60,500,1,
60,470,1,
60,500,1,
60,400,1,
60,465,1,
60,420,1,
60,500,1,
60,500,1,
60,430,1,
60,400,1,
60,400,1,
60,400,1,
60,435,1,
60,350,0,
60,500,1,
60,470,1,
60,500,1,
60,420,1,
60,490,1,
60,365,1,
60,480,1,
60,500,1,
60,500,1,
60,550,0,
60,400,0,
60,470,1,
60,500,1,
60,380,1,
60,395,1,
60,410,1,
60,450,0,
60,420,1,
60,400,0,
60,425,1,
60,300,0,
60,500,1,
60,455,1,
60,500,1,
60,500,1,
60,400,1,
60,500,1,
60,415,1,
60,500,1,
60,250,1,
60,480,1,
60,500,1,
60,500,1,
60,600,1,
60,450,1,
60,430,0,
60,500,1,
60,380,1,
60,365,0,
60,400,0,
60,500,1,
60,350,1,
60,450,1,
60,400,1,
60,340,1,
60,200,0,
60,500,1,
60,500,1,
60,500,1,
60,480,0,
60,500,1,
60,410,0,
60,485,1,
60,250,0,
60,475,1,
60,500,1,
60,500,1,
60,575,1,
60,500,1,
60,470,0,
60,500,1,
60,330,1,
60,370,0,
60,400,1,
60,495,1,
60,350,0,
60,475,1,
60,455,1,
60,350,1,
60,300,0,
60,425,1,
60,500,1,
60,250,1,
60,500,1,
60,500,1,
60,420,1,
60,490,1,
60,335,0,
60,470,0,
60,500,1,
60,500,1,
60,550,1,
60,400,1,
60,485,1,
60,500,1,
60,250,0,
60,390,1,
60,400,1,
60,485,1,
60,335,0,
60,455,1,
60,455,1,
60,350,1,
60,500,1,
60,520,1,
60,500,1,
60,250,0,
60,470,1,
60,500,1,
60,420,1,
60,500,1,
60,400,0,
60,475,1,
60,500,1,
60,500,1,
60,550,1,
60,350,1,
60,485,1,
60,500,1,
60,380,0,
60,380,0,
60,385,1,
60,480,1,
60,420,0,
60,470,1,
60,400,1,
60,650,1,
60,400,1,
60,450,1,
60,500,1,
60,250,0,
60,500,1,
60,500,1,
60,420,1,
60,500,1,
60,335,1,
60,470,1,
60,500,1,
60,500,1,
60,550,1,
60,600,1,
60,485,1,
60,500,1,
60,500,1,
60,390,0,
60,385,0,
60,490,1,
60,420,1,
60,460,1,
60,400,1,
60,400,1,
60,375,1,
60,500,1,
60,500,1,
60,500,1,
60,420,1,
60,500,1,
60,420,1,
60,485,1,
60,335,1,
60,475,1,
60,500,1,
60,500,1,
60,550,1,
60,300,0,
60,470,1,
60,500,1,
60,450,1,
60,395,1,
60,400,0,
60,475,1,
60,420,1,
60,465,1,
60,400,1,
60,350,0,
60,400,1,
60,450,1,
60,400,1,
60,500,1,
60,500,1,
60,500,1,
60,415,0,
60,485,1,
60,335,1,
60,475,1,
60,500,1,
60,500,1,
60,530,1,
60,350,1,
60,470,1,
60,500,1,
60,400,0,
60,395,1,
60,400,0,
60,470,1,
60,420,1,
60,450,1,
60,400,1,
60,350,0,
60,400,0,
60,510,1,
60,400,1,
60,500,1,
60,550,1,
60,550,1,
60,420,1,
60,485,1,
60,335,1,
60,470,1,
60,500,1,
60,500,1,
60,525,1,
60,350,1,
60,470,1,
60,400,0,
60,450,1,
60,395,0,
60,410,1,
60,470,1,
60,420,1,
60,445,1,
60,400,1,
60,400,1,
60,400,1,
60,390,1,
60,400,1,
60,500,1,
300,5,0,
300,490,1,
300,415,1,
300,700,1,
300,500,1,
300,500,1,
300,300,1,
300,450,1,
300,450,1,
300,500,1,
300,420,1,
300,500,1,
300,480,1,
300,550,1,
300,500,1,
300,500,1,
300,460,1,
300,500,1,
300,335,1,
300,370,1,
300,400,1,
300,480,1,
300,470,1,
300,490,1,
300,500,1,
300,490,1,
300,340,1,
300,500,1,
300,465,1,
300,350,1,
300,465,1,
300,500,1,
300,500,1,
300,5,0,
300,500,1,
300,430,1,
300,600,1,
300,450,1,
300,500,1,
300,335,0,
300,450,1,
300,550,1,
300,500,1,
300,415,0,
300,450,1,
300,490,1,
300,400,1,
300,500,1,
300,470,1,
300,450,1,
300,490,1,
300,340,1,
300,390,1,
300,350,1,
300,480,1,
300,505,1,
300,490,1,
300,500,1,
300,430,1,
300,330,1,
300,500,1,
300,460,1,
300,350,1,
300,400,1,
300,500,1,
300,500,1,
300,5,0,
300,495,1,
300,400,1,
300,500,1,
300,300,0,
300,500,1,
300,335,1,
300,440,1,
300,535,1,
300,500,1,
300,420,1,
300,380,1,
300,460,1,
300,550,1,
300,500,1,
300,450,1,
300,360,1,
300,485,1,
300,300,1,
300,435,1,
300,360,1,
300,490,1,
300,490,0,
300,490,1,
300,450,1,
300,500,1,
300,310,1,
300,500,1,
300,430,1,
300,350,0,
300,400,1,
300,500,1,
300,505,1,
300,5,0,
300,505,1,
300,420,1,
300,450,1,
300,670,1,
300,500,1,
300,335,1,
300,440,1,
300,500,1,
300,500,1,
300,420,1,
300,370,0,
300,450,0,
300,500,1,
300,500,1,
300,430,1,
300,360,1,
300,475,1,
300,290,1,
300,340,1,
300,300,1,
300,480,1,
300,520,1,
300,480,1,
300,400,1,
300,470,1,
300,300,1,
300,500,1,
300,400,1,
300,400,1,
300,400,1,
300,500,1,
300,505,1,
300,5,0,
300,490,1,
300,435,1,
300,400,1,
300,550,1,
300,500,1,
300,335,1,
300,430,1,
300,450,1,
300,500,1,
300,395,0,
300,420,1,
300,470,1,
300,400,1,
300,500,1,
300,415,1,
300,350,1,
300,470,1,
300,290,0,
300,340,0,
300,310,1,
300,480,1,
300,500,1,
300,470,1,
300,400,0,
300,500,1,
300,295,0,
300,500,1,
300,370,1,
300,400,1,
300,330,1,
300,470,1,
300,470,1,
300,5,0,
300,500,1,
300,410,1,
300,400,1,
300,535,1,
300,500,1,
300,335,0,
300,420,1,
300,470,1,
300,500,1,
300,420,1,
300,430,0,
300,480,1,
300,400,0,
300,500,1,
300,400,0,
300,340,1,
300,465,1,
300,290,0,
300,395,1,
300,280,1,
300,480,1,
300,515,1,
300,460,1,
300,400,1,
300,470,1,
300,295,1,
300,500,1,
300,400,1,
300,400,0,
300,330,1,
300,480,1,
300,500,1,
300,5,0,
300,490,1,
300,400,1,
300,100,0,
300,500,1,
300,500,1,
300,335,1,
300,400,1,
300,485,1,
300,500,1,
300,420,0,
300,450,1,
300,470,0,
300,660,0,
300,500,1,
300,430,1,
300,340,1,
300,460,1,
300,300,1,
300,395,1,
300,270,1,
300,470,1,
300,510,1,
300,460,1,
300,400,1,
300,460,1,
300,300,0,
300,500,1,
300,370,1,
300,360,1,
300,400,1,
300,440,1,
300,440,1,
300,5,1,
300,480,1,
300,420,1,
300,500,1,
300,520,1,
300,500,1,
300,335,1,
300,390,1,
300,450,0,
300,500,0,
300,420,1,
300,440,1,
300,490,1,
300,450,1,
300,500,1,
300,430,1,
300,270,1,
300,450,1,
300,300,1,
300,390,1,
300,260,0,
300,480,1,
300,525,1,
300,440,1,
300,400,1,
300,500,1,
300,305,0,
300,500,1,
300,370,1,
300,360,1,
300,400,1,
300,440,1,
300,500,1,
300,5,0,
300,480,1,
300,430,1,
300,400,1,
300,500,1,
300,500,1,
300,335,0,
300,350,1,
300,500,1,
300,500,1,
300,420,1,
300,420,1,
300,490,1,
300,450,1,
300,500,1,
300,430,0,
300,270,1,
300,435,1,
300,300,1,
300,380,1,
300,275,1,
300,480,1,
300,505,1,
300,435,1,
300,350,1,
300,460,1,
300,330,1,
300,500,1,
300,370,1,
300,360,1,
300,400,0,
300,440,1,
300,350,1,
300,5,0,
300,500,1,
300,410,1,
300,450,1,
300,480,1,
300,500,1,
300,335,1,
300,335,1,
300,485,1,
300,500,1,
300,420,1,
300,430,1,
300,500,1,
300,700,1,
300,500,1,
300,500,1,
300,270,1,
300,400,1,
300,300,1,
300,380,1,
300,290,1,
300,470,1,
300,515,1,
300,430,1,
300,350,1,
300,500,1,
300,330,1,
300,500,1,
300,400,1,
300,360,1,
300,400,1,
300,470,1,
300,405,1,
1500,750,1,
1500,250,1,
1500,400,0,
1500,100,0,
1500,400,1,
1500,450,1,
1500,450,1,
1500,250,0,
1500,470,1,
1500,500,1,
1500,500,1,
1500,800,1,
1500,500,1,
1500,410,1,
1500,500,1,
1500,500,1,
1500,410,1,
1500,400,1,
1500,200,0,
1500,500,1,
1500,500,1,
1500,435,1,
1500,460,1,
1500,400,1,
1500,500,1,
1500,400,1,
1500,100,1,
1500,500,1,
1500,500,1,
1500,400,1,
1500,460,1,
1500,480,1,
1500,250,1,
1500,465,1,
1500,580,1,
1500,500,1,
1500,670,1,
1500,470,1,
1500,330,1,
1500,600,1,
1500,500,1,
1500,400,1,
1500,400,1,
1500,200,0,
1500,610,1,
1500,500,1,
1500,500,1,
1500,400,1,
1500,400,1,
1500,500,1,
1500,400,1,
1500,600,1,
1500,500,1,
1500,500,1,
1500,400,1,
1500,400,1,
1500,440,1,
1500,250,0,
1500,460,1,
1500,500,1,
1500,500,1,
1500,600,1,
1500,450,1,
1500,380,1,
1500,600,1,
1500,500,1,
1500,380,1,
1500,400,1,
1500,200,1,
1500,345,1,
1500,500,1,
1500,400,1,
1500,400,1,
1500,400,1,
1500,500,1,
1500,330,1,
1500,150,0,
1500,500,1,
1500,500,1,
1500,400,1,
1500,420,1,
1500,400,1,
1500,500,1,
1500,450,1,
1500,580,1,
1500,500,1,
1500,730,1,
1500,400,1,
1500,200,1,
1500,500,1,
1500,500,1,
1500,370,1,
1500,400,1,
1500,200,0,
1500,710,1,
1500,500,1,
1500,370,1,
1500,400,1,
1500,400,1,
1500,500,1,
1500,250,1,
1500,400,1,
1500,500,1,
1500,400,1,
1500,400,1,
1500,410,1,
1500,430,1,
1500,500,1,
1500,440,0,
1500,500,1,
1500,500,1,
1500,500,1,
1500,400,1,
1500,270,0,
1500,500,1,
1500,500,1,
1500,370,1,
1500,400,1,
1500,200,1,
1500,240,0,
1500,500,1,
1500,335,1,
1500,400,1,
1500,400,1,
1500,500,1,
1500,250,1,
1500,300,1,
1500,480,1,
1500,300,0,
1500,400,0,
1500,400,1,
1500,425,1,
1500,500,1,
1500,440,1,
1500,500,1,
1500,500,1,
1500,730,1,
1500,400,1,
1500,400,1,
1500,500,1,
1500,500,1,
1500,360,1,
1500,400,1,
1500,200,1,
1500,220,0,
1500,500,1,
1500,300,1,
1500,400,1,
1500,400,1,
1500,500,1,
1500,200,0,
1500,200,0,
1500,480,1,
1500,400,1,
1500,400,1,
1500,410,1,
1500,435,1,
1500,500,1,
1500,440,1,
1500,500,1,
1500,500,1,
1500,730,1,
1500,370,1,
1500,340,1,
1500,500,1,
1500,500,1,
1500,350,1,
1500,400,1,
1500,200,0,
1500,490,1,
1500,500,1,
1500,260,1,
1500,400,1,
1500,400,1,
1500,500,1,
1500,500,1,
1500,400,1,
1500,470,1,
1500,400,1,
1500,400,0,
1500,400,1,
1500,440,1,
1500,500,1,
1500,430,1,
1500,500,1,
1500,500,1,
1500,800,1,
1500,370,1,
1500,340,1,
1500,500,1,
1500,500,1,
1500,340,0,
1500,400,1,
1500,200,1,
1500,505,1,
1500,500,1,
1500,220,1,
1500,400,1,
1500,400,1,
1500,500,0,
1500,330,1,
1500,400,1,
1500,400,1,
1500,400,1,
1500,400,1,
1500,380,1,
1500,440,1,
1500,500,1,
1500,440,1,
1500,500,1,
1500,500,1,
1500,500,1,
1500,370,1,
1500,340,1,
1500,500,1,
1500,500,1,
1500,340,1,
1500,400,1,
1500,200,1,
1500,360,1,
1500,500,1,
1500,170,0,
1500,340,1,
1500,400,1,
1500,500,1,
1500,330,1,
1500,400,1,
1500,400,1,
1500,400,1,
1500,400,1,
1500,400,1,
1500,440,1,
1500,500,1,
1500,430,1,
1500,500,1,
1500,500,1,
1500,665,1,
1500,335,1,
1500,330,1,
1500,500,1,
1500,500,1,
1500,350,1,
1500,400,1,
1500,400,1,
1500,600,1,
1500,500,0,
1500,200,0,
1500,340,1,
1500,500,1,
1500,500,1,
5000,0,0,
5000,500,0,
5000,1000,0,
5000,2000,1,
5000,2000,1,
5000,2000,1,
5000,2000,0,
5000,2000,1,
5000,2000,0,
5000,2000,1,
5000,2000,1,
5000,2200,1,
5000,2400,1,
5000,2400,1,
5000,2500,1,
5000,2500,0,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2750,1,
5000,3000,1,
5000,3500,1,
5000,3800,1,
5000,4000,1,
5000,4000,1,
5000,4200,1,
5000,0,0,
5000,0,0,
5000,0,0,
5000,1000,0,
5000,1000,0,
5000,1200,0,
5000,1500,0,
5000,1500,0,
5000,2000,1,
5000,2000,1,
5000,2000,1,
5000,2000,1,
5000,2250,1,
5000,2400,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,3000,1,
5000,3000,1,
5000,4000,1,
5000,1000,0,
5000,1000,0,
5000,1000,1,
5000,1000,0,
5000,1500,1,
5000,1500,1,
5000,1500,0,
5000,2000,1,
5000,2000,1,
5000,2000,0,
5000,2000,1,
5000,2000,1,
5000,2000,1,
5000,2000,1,
5000,2000,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,3000,1,
5000,3000,1,
5000,3500,1,
5000,4000,1,
40000,10000,1,
40000,10000,0,
40000,10000,1,
40000,10000,1,
40000,12000,0,
40000,15000,1,
40000,15000,0,
40000,15000,1,
40000,15000,1,
40000,15000,1,
40000,15000,1,
40000,17500,1,
40000,18000,1,
40000,19000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,20000,1,
40000,30000,1,
5000,500,1,
5000,1000,0,
5000,1000,1,
5000,1000,0,
5000,1000,0,
5000,1000,1,
5000,1500,1,
5000,1500,1,
5000,1800,1,
5000,2000,1,
5000,2000,1,
5000,2000,0,
5000,2000,0,
5000,2000,1,
5000,2000,1,
5000,2000,1,
5000,2000,1,
5000,2000,1,
5000,2000,0,
5000,2000,1,
5000,2200,1,
5000,2200,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,2500,1,
5000,3500,1,
200000,1000,0,
200000,25000,0,
200000,41000,0,
200000,50000,1,
200000,75000,1,
200000,75000,1,
200000,75000,1,
200000,77000,1,
200000,80000,1,
200000,80000,1,
200000,80000,1,
200000,81000,1,
200000,90000,1,
200000,90000,1,
200000,90000,1,
200000,90000,1,
200000,90000,1,
200000,99000,1,
200000,100000,1,
200000,100000,1,
200000,100000,1,
200000,100000,1,
200000,100000,1,
200000,100000,1,
200000,100000,1,
200000,100000,1,
200000,100000,1,
200000,100000,1,
200000,100000,1,
